timestamp,transformer_id,voltage_l1,voltage_l2,current_l1,current_l2,frequency,thd_voltage,thd_current,oil_temp_top,oil_temp_bottom,h2_gas_ppm,ch4_gas_ppm,voltage_kv,power_mva,age_years,fault_type,severity,anomaly,criticality,transformer_type,load_factor
2025-10-06 00:43:46.104998,T400_347,402885.8,405971.4,0.2,0.18,50.062,3.73,2.47,49.9,45.1,160.1,104.7,400,382.8,30,winding_deformation,0.408,1,0.621,transmission_400kv,0.347
2025-09-27 21:53:46.106002,T132_946,133375.2,132689.8,0.1,0.1,50.076,1.91,1.44,43.2,40.9,48.6,29.5,132,33.6,19,healthy,0.0,0,0.101,power_132kv,0.691
2025-09-27 16:13:46.107013,T400_158,399937.9,405402.3,0.21,0.19,50.098,1.65,1.0,21.3,18.7,26.0,21.1,400,174.1,10,healthy,0.0,0,0.025,transmission_400kv,0.755
2025-10-02 11:09:46.108008,T11_998,10906.8,10974.6,0.41,0.43,49.974,3.34,2.53,66.3,62.7,125.2,81.1,11,11.1,24,radial_displacement,0.357,1,0.535,distribution_11kv,0.731
2025-09-17 20:28:46.109000,T11_331,11199.2,11138.3,0.09,0.09,49.914,3.18,2.1,38.1,35.2,103.0,67.9,11,3.0,23,radial_displacement,0.257,1,0.376,distribution_11kv,0.561
2025-09-22 19:39:46.110001,T11_029,10808.6,10822.5,0.71,0.66,50.014,5.18,3.34,46.0,42.0,256.5,169.6,11,24.9,29,core_ground,0.863,1,1.0,distribution_11kv,0.494
2025-09-14 06:34:46.110001,T400_808,395663.4,403686.2,0.13,0.14,50.059,1.76,1.23,31.4,28.8,37.2,24.9,400,144.9,14,healthy,0.0,0,0.056,transmission_400kv,0.62
2025-09-15 13:03:46.110996,T132_866,130341.5,133687.0,0.33,0.35,49.984,1.8,1.25,24.4,21.5,31.8,23.8,132,95.2,14,healthy,0.0,0,0.04,power_132kv,0.827
2025-09-16 01:44:46.110996,T11_833,10821.0,11027.6,1.1,1.09,49.941,3.61,2.11,37.1,33.1,144.9,93.4,11,24.4,25,shorted_turns,0.414,1,0.566,distribution_11kv,0.802
2025-10-01 07:08:46.111996,T132_606,136575.3,132262.9,0.18,0.16,50.018,1.78,1.21,38.5,36.4,33.1,22.1,132,40.0,13,healthy,0.0,0,0.041,power_132kv,0.939
2025-09-22 15:17:46.113001,T400_207,397629.3,395326.3,0.11,0.11,50.014,4.5,2.86,55.0,51.5,202.0,137.8,400,124.8,37,shorted_turns,0.464,1,0.785,transmission_400kv,0.594
2025-09-28 10:08:46.113999,T400_354,393487.4,398074.8,0.32,0.3,49.913,1.47,1.31,33.8,29.3,38.9,21.1,400,238.0,14,healthy,0.0,0,0.061,transmission_400kv,0.871
2025-09-16 08:35:46.115000,T132_203,134120.7,133238.2,0.12,0.13,50.036,1.71,1.09,29.0,26.3,38.5,28.4,132,54.1,15,healthy,0.0,0,0.062,power_132kv,0.537
2025-09-13 16:40:46.115000,T132_452,130361.9,130752.1,0.2,0.21,49.978,1.56,1.21,21.9,19.0,29.7,21.5,132,99.7,13,healthy,0.0,0,0.033,power_132kv,0.508
2025-10-11 21:30:46.116005,T132_020,132584.1,131653.9,0.13,0.13,50.08,3.12,1.85,54.8,51.8,99.8,69.0,132,57.7,16,radial_displacement,0.404,1,0.408,power_132kv,0.512
2025-09-26 08:35:46.116005,T132_550,130498.5,132267.5,0.13,0.14,49.986,1.85,1.5,34.8,30.7,39.1,28.0,132,39.1,17,healthy,0.0,0,0.068,power_132kv,0.814
2025-09-20 00:13:46.116997,T400_091,400084.5,395378.6,0.36,0.33,49.963,2.96,1.81,46.1,43.8,72.7,49.0,400,462.0,38,healthy,0.0,0,0.223,transmission_400kv,0.519
2025-09-22 23:48:46.116997,T132_705,130811.6,131058.4,0.09,0.08,50.015,1.34,1.25,24.4,20.0,30.3,15.9,132,31.5,9,healthy,0.0,0,0.023,power_132kv,0.58
2025-09-18 01:22:46.118317,T132_324,133010.6,132347.0,0.07,0.08,49.953,2.14,1.64,22.3,19.0,55.5,32.5,132,60.3,24,healthy,0.0,0,0.134,power_132kv,0.294
2025-09-30 20:08:46.119335,T11_013,10900.5,10671.4,0.51,0.45,50.007,3.26,2.62,49.4,45.9,130.7,88.0,11,19.9,16,axial_displacement,0.59,1,0.571,distribution_11kv,0.449
2025-10-07 17:39:46.119335,T400_982,397584.6,398259.6,0.28,0.26,49.936,4.0,2.86,46.1,42.9,160.2,111.6,400,233.5,26,core_ground,0.521,1,0.658,transmission_400kv,0.787
2025-10-05 05:53:46.120341,T11_121,11059.4,10828.1,0.23,0.2,49.959,1.56,0.86,20.0,18.0,25.8,16.9,11,9.8,7,healthy,0.0,0,0.017,distribution_11kv,0.412
2025-10-08 03:54:46.121336,T132_076,133499.9,130515.5,0.18,0.18,49.896,1.81,1.06,23.3,20.3,41.2,22.3,132,71.5,15,healthy,0.0,0,0.069,power_132kv,0.582
2025-09-15 03:51:46.122336,T11_480,10909.2,10691.2,0.44,0.43,50.039,1.88,1.24,23.8,19.2,40.5,23.3,11,9.8,14,healthy,0.0,0,0.065,distribution_11kv,0.811
2025-09-26 21:29:46.122336,T132_891,131146.1,130957.2,0.1,0.1,49.95,2.57,1.71,40.7,38.1,75.9,52.4,132,59.1,23,axial_displacement,0.14,1,0.248,power_132kv,0.383
2025-09-25 23:07:46.123337,T132_772,131332.2,133919.8,0.17,0.15,50.011,2.45,1.58,46.3,41.9,63.1,39.1,132,40.3,8,shorted_turns,0.314,1,0.243,power_132kv,0.927
2025-09-30 06:33:46.124342,T11_805,10912.5,10974.5,0.13,0.13,50.029,1.56,1.02,25.9,22.0,38.0,21.3,11,2.9,12,healthy,0.0,0,0.053,distribution_11kv,0.823
2025-09-15 07:28:46.125334,T400_504,401444.5,404790.4,0.12,0.13,49.981,1.23,1.24,28.5,25.8,31.1,19.0,400,215.3,10,healthy,0.0,0,0.028,transmission_400kv,0.429
2025-10-03 22:32:46.126334,T11_806,10762.9,11066.0,0.08,0.07,50.058,3.51,2.23,38.0,35.7,115.6,78.3,11,3.3,11,winding_deformation,0.666,1,0.548,distribution_11kv,0.397
2025-10-08 01:59:46.128334,T11_886,10886.0,11003.7,0.25,0.25,49.884,4.38,3.32,57.4,54.5,223.4,152.3,11,6.1,28,winding_deformation,0.739,1,0.933,distribution_11kv,0.782
2025-09-30 09:20:46.129339,T400_971,402429.9,400428.2,0.1,0.1,49.941,2.6,1.59,53.5,50.8,62.2,42.8,400,179.4,33,healthy,0.0,0,0.178,transmission_400kv,0.385
2025-09-16 10:47:46.130336,T400_679,393383.4,405005.9,0.17,0.15,50.028,3.38,2.41,51.4,46.6,154.3,102.1,400,120.8,28,winding_deformation,0.402,1,0.595,transmission_400kv,0.853
2025-10-09 03:38:46.131331,T11_681,10882.2,11012.8,0.04,0.04,49.945,1.24,1.17,20.0,18.0,28.1,17.0,11,1.4,9,healthy,0.0,0,0.023,distribution_11kv,0.622
2025-09-21 18:46:46.131331,T11_241,11165.6,11048.0,0.03,0.03,49.972,1.37,1.12,31.2,28.0,27.8,20.9,11,1.2,9,healthy,0.0,0,0.023,distribution_11kv,0.514
2025-10-11 00:43:46.132333,T400_646,405694.0,399246.3,0.26,0.27,50.037,1.83,1.26,26.9,22.9,30.3,21.0,400,362.8,13,healthy,0.0,0,0.033,transmission_400kv,0.509
2025-10-01 18:18:46.133334,T400_452,396476.9,401289.7,0.2,0.2,49.998,3.05,1.65,41.1,37.3,73.5,46.4,400,363.3,38,healthy,0.0,0,0.226,transmission_400kv,0.388
2025-09-29 19:17:46.134340,T132_742,130104.1,132765.9,0.1,0.1,49.961,3.4,1.87,32.3,28.4,122.3,82.0,132,37.0,19,axial_displacement,0.45,1,0.5,power_132kv,0.647
2025-09-22 05:18:46.135336,T132_895,133360.2,131791.3,0.24,0.25,50.034,1.82,1.38,20.4,18.0,42.0,24.3,132,73.8,16,healthy,0.0,0,0.074,power_132kv,0.775
2025-09-30 01:16:46.136333,T11_761,11024.5,10948.3,0.5,0.49,50.004,1.21,0.97,27.1,23.6,32.9,20.8,11,22.1,11,healthy,0.0,0,0.036,distribution_11kv,0.442
2025-10-08 13:14:46.137333,T132_229,131220.3,131845.3,0.11,0.1,50.002,2.96,2.03,63.1,59.4,98.5,63.8,132,35.7,12,radial_displacement,0.521,1,0.466,power_132kv,0.653
2025-10-09 17:01:46.138333,T132_887,132232.6,132133.0,0.11,0.1,49.958,1.9,1.47,22.8,19.9,47.5,33.4,132,57.3,22,healthy,0.0,0,0.105,power_132kv,0.429
2025-09-21 22:05:46.139334,T400_188,396332.4,400151.4,0.18,0.18,50.003,2.23,1.59,34.6,29.8,57.9,34.3,400,154.8,26,healthy,0.0,0,0.146,transmission_400kv,0.776
2025-10-07 06:42:46.139334,T132_631,130498.7,134161.0,0.18,0.16,49.987,4.03,2.44,42.7,39.0,140.5,95.8,132,57.5,20,shorted_turns,0.536,1,0.593,power_132kv,0.663
2025-09-29 03:47:46.140335,T400_485,395254.6,401949.8,0.13,0.12,50.055,2.39,1.92,61.9,58.3,79.8,53.5,400,130.9,11,axial_displacement,0.375,1,0.338,transmission_400kv,0.659
2025-09-18 16:44:46.141337,T400_420,404977.1,397870.0,0.23,0.24,49.949,2.73,2.07,27.4,23.6,70.2,42.3,400,217.4,35,healthy,0.0,0,0.207,transmission_400kv,0.717
2025-09-30 17:35:46.142334,T132_181,132400.0,131960.1,0.15,0.15,50.007,3.71,2.19,49.7,45.9,118.0,77.8,132,38.8,13,winding_deformation,0.582,1,0.527,power_132kv,0.877
2025-09-23 14:49:46.143339,T400_242,399190.0,405913.5,0.22,0.23,49.964,3.05,1.88,20.0,18.0,94.3,65.6,400,401.7,23,axial_displacement,0.241,1,0.344,transmission_400kv,0.387
2025-09-27 14:06:46.144344,T132_654,131389.4,131138.4,0.11,0.11,50.052,2.22,1.55,20.0,18.0,51.8,32.0,132,51.3,24,healthy,0.0,0,0.124,power_132kv,0.51
2025-09-28 06:58:46.145342,T132_726,131358.9,131641.1,0.19,0.17,50.017,2.06,1.29,31.2,27.3,46.3,27.3,132,75.3,20,healthy,0.0,0,0.097,power_132kv,0.524
2025-10-05 08:06:46.146339,T11_071,11052.3,10847.7,0.23,0.23,49.911,2.87,2.15,41.5,37.6,94.1,59.8,11,6.1,24,radial_displacement,0.181,1,0.321,distribution_11kv,0.71
2025-09-16 17:41:46.146339,T132_764,132659.5,131979.6,0.06,0.06,50.039,1.12,1.15,28.4,25.5,25.7,18.4,132,38.6,8,healthy,0.0,0,0.02,power_132kv,0.366
2025-09-19 11:19:46.148342,T400_607,398044.9,397237.5,0.14,0.12,49.986,3.76,2.46,49.2,46.2,129.8,84.4,400,361.3,14,radial_displacement,0.637,1,0.586,transmission_400kv,0.247
2025-10-11 22:57:46.148342,T11_215,10984.8,10983.8,0.75,0.69,49.999,1.72,1.26,31.4,26.6,30.3,18.5,11,18.7,13,healthy,0.0,0,0.033,distribution_11kv,0.745
2025-09-18 11:41:46.149340,T132_134,133443.4,129876.3,0.26,0.27,49.992,1.94,1.18,30.3,26.4,35.1,24.8,132,92.1,14,healthy,0.0,0,0.05,power_132kv,0.653
2025-09-29 19:55:46.149340,T132_417,132129.9,130961.9,0.18,0.19,49.951,1.45,1.39,20.0,18.0,34.3,19.2,132,66.0,12,healthy,0.0,0,0.042,power_132kv,0.642
2025-10-12 04:21:46.150339,T400_312,403361.1,395237.6,0.37,0.35,50.038,3.05,2.3,28.8,26.1,98.7,66.0,400,278.7,32,axial_displacement,0.148,1,0.342,transmission_400kv,0.852
2025-10-08 00:04:46.151339,T400_744,404120.6,396871.9,0.32,0.31,50.04,2.11,1.32,37.5,32.8,44.9,27.1,400,393.8,19,healthy,0.0,0,0.091,transmission_400kv,0.563
2025-10-08 21:38:46.151339,T11_682,11014.2,10981.3,0.26,0.27,49.95,2.32,1.89,35.8,33.5,67.7,47.2,11,10.1,9,radial_displacement,0.361,1,0.277,distribution_11kv,0.485
2025-10-09 23:52:46.152339,T132_848,132173.1,130485.8,0.09,0.09,49.913,1.48,1.28,27.7,23.1,39.5,21.9,132,30.0,15,healthy,0.0,0,0.065,power_132kv,0.706
2025-09-17 01:32:46.152339,T132_553,128165.9,132251.7,0.19,0.17,49.966,3.45,2.38,49.5,45.8,116.0,71.8,132,61.8,14,shorted_turns,0.545,1,0.508,power_132kv,0.639
2025-09-23 00:55:46.153339,T400_181,404215.8,399972.7,0.33,0.31,49.985,2.72,1.5,45.5,43.2,61.9,38.1,400,231.9,30,healthy,0.0,0,0.171,transmission_400kv,0.927
2025-09-24 04:35:46.154339,T132_470,132114.7,132093.0,0.22,0.23,50.011,2.84,1.71,61.8,56.9,83.0,59.8,132,94.2,20,axial_displacement,0.216,1,0.308,power_132kv,0.553
2025-10-08 21:15:46.155339,T400_834,402864.9,404478.6,0.35,0.35,49.952,2.35,1.53,40.2,35.3,53.5,36.3,400,332.0,27,healthy,0.0,0,0.137,transmission_400kv,0.728
2025-09-26 17:11:46.155339,T400_917,399364.3,394592.2,0.48,0.47,50.023,2.61,2.11,66.6,62.7,73.7,50.8,400,450.8,39,healthy,0.0,0,0.281,transmission_400kv,0.757
2025-09-22 00:13:46.156340,T400_404,400533.0,399070.1,0.36,0.38,49.898,2.13,1.75,28.9,25.3,47.5,34.0,400,443.6,23,healthy,0.0,0,0.108,transmission_400kv,0.59
2025-09-18 17:00:46.156340,T400_363,398100.8,399815.4,0.15,0.14,50.036,2.64,1.79,52.4,49.5,66.4,45.8,400,297.8,33,healthy,0.0,0,0.191,transmission_400kv,0.338
2025-09-26 17:55:46.157849,T400_942,398684.2,390724.6,0.37,0.34,50.025,2.75,2.12,40.8,36.7,92.7,62.7,400,349.7,21,axial_displacement,0.252,1,0.337,transmission_400kv,0.721
2025-10-01 06:05:46.157849,T400_431,398017.0,396808.6,0.42,0.42,49.957,3.05,2.05,27.6,23.0,97.8,64.7,400,440.5,30,axial_displacement,0.143,1,0.332,transmission_400kv,0.655
2025-09-24 07:42:46.158865,T11_743,10830.9,11011.1,0.34,0.33,50.037,1.51,1.14,37.6,33.5,22.4,14.4,11,20.1,5,healthy,0.0,0,0.013,distribution_11kv,0.296
2025-09-14 21:51:46.159859,T132_553,131881.7,133203.2,0.09,0.09,50.031,2.0,1.24,31.0,27.2,44.8,26.4,132,28.0,20,healthy,0.0,0,0.092,power_132kv,0.708
2025-09-25 19:24:46.159859,T11_864,11019.6,10864.5,0.1,0.09,50.006,1.63,1.05,36.9,33.7,30.8,21.5,11,2.2,10,healthy,0.0,0,0.027,distribution_11kv,0.801
2025-09-19 12:57:46.160855,T400_205,397030.6,402814.8,0.24,0.26,50.053,1.73,1.42,27.2,24.1,50.5,29.3,400,185.4,19,healthy,0.0,0,0.106,transmission_400kv,0.961
2025-10-04 22:12:46.160855,T11_589,11053.6,11060.1,1.13,1.03,49.951,2.34,1.74,56.0,52.9,53.4,36.9,11,21.4,25,healthy,0.0,0,0.131,distribution_11kv,0.897
2025-09-17 06:11:46.161857,T400_409,395030.2,401590.9,0.27,0.27,49.963,2.5,1.75,43.6,40.1,85.4,54.6,400,399.6,20,axial_displacement,0.215,1,0.297,transmission_400kv,0.446
2025-10-04 05:07:46.162857,T11_404,10951.8,11061.1,0.04,0.04,50.061,1.57,1.36,29.1,25.0,29.4,22.8,11,1.2,13,healthy,0.0,0,0.033,distribution_11kv,0.623
2025-09-18 08:49:46.162857,T132_123,133087.0,133452.2,0.16,0.15,50.011,2.18,1.5,26.4,22.3,41.6,35.6,132,86.1,23,healthy,0.0,0,0.092,power_132kv,0.41
2025-09-20 14:02:46.163857,T11_101,11093.9,10977.0,0.62,0.58,49.947,1.67,1.22,37.3,34.6,42.4,21.6,11,12.6,15,healthy,0.0,0,0.073,distribution_11kv,0.904
2025-10-09 08:07:46.163857,T132_592,132415.8,133002.6,0.15,0.15,50.042,1.42,0.98,25.0,21.4,24.0,18.7,132,82.3,8,healthy,0.0,0,0.02,power_132kv,0.389
2025-09-14 21:03:46.164856,T400_072,402614.8,403473.1,0.31,0.29,50.019,2.13,1.42,34.6,30.0,47.7,37.0,400,264.4,23,healthy,0.0,0,0.109,transmission_400kv,0.779
2025-09-19 13:58:46.164856,T400_032,396665.7,398003.7,0.38,0.4,49.966,2.59,2.12,35.8,31.1,62.6,42.4,400,346.2,35,healthy,0.0,0,0.184,transmission_400kv,0.792
2025-09-24 07:10:46.165855,T11_621,11199.5,11155.4,0.28,0.29,50.036,2.26,1.67,20.0,18.0,56.1,34.4,11,10.9,26,healthy,0.0,0,0.141,distribution_11kv,0.509
2025-10-10 22:16:46.166856,T11_820,10998.4,10850.8,0.12,0.12,49.976,1.73,1.18,20.6,18.0,42.5,27.6,11,4.9,17,healthy,0.0,0,0.078,distribution_11kv,0.476
2025-09-23 15:29:46.166856,T11_618,10890.9,11118.9,0.85,0.82,50.037,2.65,1.72,37.0,32.2,71.2,43.1,11,25.0,6,shorted_turns,0.465,1,0.323,distribution_11kv,0.61
2025-09-30 10:21:46.167857,T11_146,11088.5,11181.9,0.14,0.12,49.969,1.6,0.98,31.6,28.9,31.8,16.9,11,3.2,10,healthy,0.0,0,0.03,distribution_11kv,0.71
2025-09-18 17:14:46.167857,T400_189,402816.3,399893.6,0.18,0.18,49.97,3.35,2.55,68.2,66.2,137.7,86.4,400,245.1,30,winding_deformation,0.306,1,0.582,transmission_400kv,0.493
2025-09-20 18:10:46.168856,T11_244,11104.8,11073.4,0.75,0.7,49.957,1.46,0.84,50.1,45.3,33.3,22.5,11,18.6,11,healthy,0.0,0,0.037,distribution_11kv,0.774
2025-10-01 06:56:46.169854,T400_175,407797.7,404452.7,0.12,0.12,49.969,2.54,1.9,43.7,38.8,69.4,48.1,400,198.2,36,healthy,0.0,0,0.206,transmission_400kv,0.401
2025-10-10 17:53:46.169854,T132_217,130193.7,133243.6,0.14,0.14,50.025,2.07,1.47,26.6,24.4,50.7,35.9,132,42.0,23,healthy,0.0,0,0.117,power_132kv,0.703
2025-10-02 12:52:46.170855,T132_091,133481.1,131572.9,0.19,0.18,49.987,1.65,1.1,20.0,18.0,28.6,18.9,132,82.1,9,healthy,0.0,0,0.023,power_132kv,0.495
2025-10-07 23:17:46.170855,T132_024,131586.4,131890.3,0.26,0.29,49.939,1.33,1.17,27.2,23.0,30.4,21.7,132,92.8,11,healthy,0.0,0,0.029,power_132kv,0.702
2025-09-26 20:33:46.171855,T400_862,405614.2,401295.4,0.06,0.06,49.94,2.49,1.93,27.2,24.8,74.8,48.2,400,115.1,39,healthy,0.0,0,0.228,transmission_400kv,0.357
2025-09-25 16:46:46.171855,T400_099,404493.8,406121.3,0.15,0.14,49.977,1.82,1.23,29.1,27.1,27.7,21.0,400,104.5,12,healthy,0.0,0,0.03,transmission_400kv,0.975
2025-09-23 14:16:46.172858,T132_343,131255.3,132142.6,0.09,0.09,49.976,1.79,1.37,26.6,24.3,35.2,25.0,132,46.3,15,healthy,0.0,0,0.052,power_132kv,0.452
2025-09-26 23:28:46.172858,T132_930,128838.4,130412.9,0.18,0.18,50.097,1.71,1.21,30.6,27.8,34.9,26.0,132,71.4,14,healthy,0.0,0,0.049,power_132kv,0.584
2025-10-05 00:00:46.173856,T11_981,11172.1,11016.8,1.04,1.01,49.958,1.27,0.76,25.3,22.5,22.2,15.7,11,24.1,6,healthy,0.0,0,0.015,distribution_11kv,0.778
2025-09-24 07:12:46.174860,T400_588,398218.0,400542.4,0.06,0.05,50.047,2.03,1.33,30.3,25.7,46.1,32.8,400,122.0,20,healthy,0.0,0,0.096,transmission_400kv,0.315
2025-10-05 12:07:46.174860,T11_047,11197.2,11056.8,0.31,0.32,50.053,1.56,1.29,36.8,34.3,34.9,15.8,11,13.4,11,healthy,0.0,0,0.041,distribution_11kv,0.476
2025-10-01 08:54:46.175860,T11_238,11097.5,11030.7,0.22,0.21,50.048,2.07,1.32,38.8,34.9,47.9,33.6,11,6.6,23,healthy,0.0,0,0.109,distribution_11kv,0.621
2025-09-19 10:58:46.176857,T132_117,131040.5,129562.8,0.06,0.06,50.073,1.65,1.1,33.9,29.6,30.3,20.3,132,40.7,10,healthy,0.0,0,0.026,power_132kv,0.348
2025-09-20 18:03:46.176857,T132_222,130149.7,130804.5,0.1,0.09,50.009,1.6,1.22,28.3,26.2,33.0,22.6,132,47.1,11,healthy,0.0,0,0.036,power_132kv,0.469
2025-10-08 03:17:46.177856,T132_307,127766.9,131003.4,0.07,0.06,50.017,3.92,2.65,41.2,36.5,170.9,106.9,132,33.8,16,shorted_turns,0.808,1,0.778,power_132kv,0.421
2025-09-14 05:28:46.177856,T132_474,134235.3,132643.6,0.17,0.17,49.942,1.63,1.35,20.0,18.0,34.1,25.6,132,66.0,13,healthy,0.0,0,0.044,power_132kv,0.61
2025-09-18 10:44:46.178858,T11_840,11136.5,11222.5,0.39,0.39,50.061,2.23,1.64,36.6,33.8,49.6,36.5,11,20.3,23,healthy,0.0,0,0.115,distribution_11kv,0.347
2025-10-08 14:33:46.179857,T132_998,129208.4,132089.5,0.05,0.05,49.976,2.34,1.41,20.0,18.0,59.3,39.7,132,36.2,9,winding_deformation,0.261,1,0.213,power_132kv,0.321
2025-09-28 23:13:46.179857,T11_954,10942.4,10925.5,0.54,0.58,50.1,1.28,1.17,38.5,35.4,34.0,21.1,11,14.9,14,healthy,0.0,0,0.046,distribution_11kv,0.713
2025-09-24 01:01:46.180855,T400_689,394036.9,399209.1,0.16,0.17,50.04,3.8,2.81,39.7,36.5,167.9,114.1,400,242.7,28,winding_deformation,0.488,1,0.67,transmission_400kv,0.451
2025-09-18 02:11:46.180855,T11_210,10892.7,11033.9,0.55,0.53,50.016,2.73,2.01,38.5,36.1,77.6,56.0,11,16.8,8,radial_displacement,0.496,1,0.359,distribution_11kv,0.604
2025-10-05 06:31:46.181855,T132_432,130715.6,132758.2,0.14,0.13,50.009,3.04,2.43,55.1,51.1,120.3,77.5,132,37.6,20,radial_displacement,0.415,1,0.481,power_132kv,0.794
2025-09-19 20:58:46.181855,T400_302,402107.9,402206.8,0.21,0.2,49.952,1.06,0.94,38.0,33.8,29.4,22.7,400,327.4,13,healthy,0.0,0,0.033,transmission_400kv,0.424
2025-09-24 23:00:46.182855,T132_303,130625.1,132120.4,0.16,0.16,50.052,2.01,1.03,44.7,42.2,38.6,28.8,132,95.1,17,healthy,0.0,0,0.067,power_132kv,0.373
2025-09-14 05:27:46.183856,T400_380,399781.2,394904.9,0.29,0.3,49.966,2.05,1.61,44.6,40.9,54.8,36.4,400,484.0,26,healthy,0.0,0,0.136,transmission_400kv,0.433
2025-09-22 06:36:46.183856,T132_150,134190.0,133871.0,0.29,0.31,49.951,1.68,1.27,27.7,25.4,38.2,27.4,132,83.3,15,healthy,0.0,0,0.061,power_132kv,0.866
